language,format,resource_link,source_link
ban,General,https://live.bible.is/bible/BANDPI,https://www.faithcomesbyhearing.com/
ban,General,https://live.bible.is/bible/BANIBS,https://www.faithcomesbyhearing.com/
ban,General,https://live.bible.is/bible/BANKTD,https://www.faithcomesbyhearing.com/
ban,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=ban,https://www.scriptureearth.org
ban,General,https://www.bible.com/languages/ban,https://www.bible.com/versions
ban,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android,https://www.bible.com/versions
ban,Mobile App,https://play.google.com/store/apps/details?id=org.wbt.ban.raosurip,https://www.internetpublishingservice.com/
ban,Mobile App,https://play.google.com/store/apps/details?id=org.rvm.ban.mle.dict,
ban,Mobile App,https://apk.fcbh.org/Balinese_TBV,https://www.faithcomesbyhearing.com/
ban,Mobile App,https://play.google.com/store/apps/details?id=org.fcbh.banibs.n2,https://www.faithcomesbyhearing.com/
ban,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
ben,Audio Recordings,https://globalrecordings.net/en/language/ben,https://www.globalrecordings.net
ben,Audio Recordings,https://talkingbibles.org,https://www.talkingbibles.org/
ben,Audio Recordings,https://www.onestory-media.org/ben,https://www.onestory-media.org/
ben,Film / Video,https://www.jesusfilm.org/watch/following-jesus-india.html/bengali-indian.html,https://www.jesusfilm.org
ben,Film / Video,https://hikayaat.com/,
ben,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=168,https://www.gods-story.org
ben,Film / Video,https://www.indigitube.tv/?s=Bengali+Muslim,https://www.createinternational.com
ben,Film / Video,https://www.jesusfilm.org/watch/jesus.html/bengali-indian.html,https://www.jesusfilm.org
ben,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
ben,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/bangla-muslim.html,https://www.jesusfilm.org
